,PCEPILFE_YoY,PCEPILFE_MoM,UNRATE,NROU,USREC,ZLB_dummy,COVID_dummy,GDPC1,GDPPOT,INDPRO,RSAFS,MCOILWTICO,IR,OPHNFB,CES0500000003,CIVPART,JTSJOL,FEDFUNDS,M2SL,WALCL,T5YIE,T10YIE,PX_MD,PX5_MD,kmeans_k,kmeans_label,hclust_k,hclust_label,kmeans_k_sub,kmeans_label_sub,hclust_k_sub,hclust_label_sub
2020-04-01,0.9596668764828342,-3.9007227809859657,14.8,4.466399240076919,1.0,1,1,-19.99316943300577,2.111482495612627,-158.90170686228294,-172.43446844492274,-74.0839336047604,-6.782334384858036,5.924615771195049,54.27974947807934,60.1,-262.2327790973871,0.05,75.92942265127726,60.13685902710415,0.7585714285714286,1.1033333333333335,2.1,2.5,12,3,11,3,2,1,6,5
2020-05-01,0.9664219171721332,1.3121546961327724,13.2,4.463483876811977,0.0,1,1,-31.252519237590096,2.109540441352279,18.84149020089474,231.6676142314253,-53.04948216340621,-6.299212598425196,14.195285832730676,-12.782956058588502,60.8,262.0929222752932,0.05,59.81018240835496,79.44424126102518,0.7649999999999999,1.1155,3.2,2.7,12,6,11,8,2,0,6,4
2020-06-01,0.937620702974118,1.8511066398390952,11.0,4.397908937,0.0,1,1,-31.63586095129247,1.9771635847703808,79.01844884595874,99.29334161007748,-29.912184412733257,-3.980891719745228,19.45745474010208,-13.728129205921968,61.5,110.54882394868127,0.08,19.3374931385617,85.51758009421,1.014090909090909,1.2731818181818182,3.0,2.5,12,6,11,8,2,0,6,4
2020-07-01,1.1786492794999992,4.236063942753798,10.2,4.457581962387747,0.0,1,1,-12.990298124595125,2.1055975899565245,43.5785305619337,19.147630096633872,-29.014821272885797,-2.7866242038216527,18.027691659433177,0.408441116405811,61.5,78.51199216837995,0.09,10.378642970933605,82.98732459801535,1.3131818181818182,1.4563636363636363,3.0,2.6,12,6,11,8,2,0,6,3
2020-08-01,1.3853964950817588,3.832221163012228,8.4,4.454596086314526,0.0,1,1,12.7069591454776,2.103596926194573,11.69259723568663,10.1029063051012,-22.751322751322743,-1.3610888710968827,12.082215573357136,4.491323579448814,61.7,-18.56049004594178,0.1,4.348016176631209,84.88523309091288,1.5504761904761906,1.6614285714285717,3.1,2.7,12,11,11,10,2,0,6,3
2020-09-01,1.4652508351544524,1.82448805055353,7.8,4.392501241000001,0.0,1,1,31.320900241632632,1.9330212857257223,-0.4753495800035257,23.892149566167564,-30.412642669007905,-1.2799999999999925,6.420738877191123,0.4067796610170759,61.4,15.3056462902474,0.09,15.179451435665836,85.0745290457122,1.5323809523809524,1.6561904761904762,2.6,2.7,12,11,11,10,2,0,6,2
2020-10-01,1.386165263198369,0.8539304521088198,6.9,4.448747389906412,0.0,1,1,29.821404968211212,2.0996662017580965,7.936478140896774,-4.850527062527021,-26.98295033358044,-0.9638554216867544,1.072357074918188,1.6265672653336338,61.7,52.89510059898621,0.09,9.98246991385514,79.77660071795667,1.560952380952381,1.703809523809524,2.6,2.4,12,11,11,10,2,0,6,1
2020-11-01,1.4275832917034936,1.2287854366171302,6.7,4.44578879401174,0.0,1,1,17.401506783160812,2.097671704667066,5.312165891742637,-11.51444777913393,-28.213221111695606,-1.0425020048115408,-0.9970057900512016,3.654822335025365,61.5,3.883495145631155,0.09,14.57818924554548,78.05600821597471,1.6252631578947367,1.7121052631578948,2.8,2.5,12,11,11,10,2,0,6,1
2020-12-01,1.5164586568509053,3.705317395669372,6.7,4.387519967,0.0,1,1,4.338902046460813,1.94701718695276,15.483807085708712,10.353952964840651,-21.476285905143623,-0.3200000000000091,-3.060968170237244,10.93117408906883,61.5,-8.269794721407564,0.09,9.743349263136825,77.82036865055093,1.8654545454545453,1.9159090909090908,2.5,2.5,12,2,11,10,2,0,6,2
2021-01-01,1.6805757598958635,3.852545701767696,6.4,4.43999424029018,0.0,1,1,0.2881506976732489,2.093753122105258,7.448991333338117,46.08391452572462,-9.596662030598058,1.0383386581469534,-0.5583933866623868,0.4012036108325567,61.4,76.36202569024073,0.09,14.205673907135363,77.24471116908651,2.1031578947368423,2.081578947368421,3.0,2.7,12,2,11,8,2,0,6,0
2021-02-01,1.7127736807917238,2.631678024170725,6.2,4.43706339448854,0.0,1,1,1.998151095671009,2.0917647992651025,-40.15200352178611,-30.768735582855022,16.818361693707963,2.976669348350769,0.6597184566527817,6.016042780748521,61.4,91.2826207662409,0.08,14.690310283733687,79.86241039430016,2.311578947368421,2.18,3.3,2.7,12,2,11,3,2,0,6,0
2021-03-01,2.200848980840564,4.744686645942142,6.1,4.3863704210000005,0.0,1,1,5.520744555655099,1.9527948858853783,33.74447162098777,129.25153838107076,113.38582677165353,7.089859851607594,2.943542919133968,-1.1972065181244496,61.5,111.14551083591334,0.07,13.881929100307833,65.57580174138127,2.4969565217391305,2.275217391304348,3.1,2.8,12,1,11,8,2,0,6,0
