,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PCEPILFE_YoY,0.3379354880278142,0.12019030038152337,-0.12071923278080438,-0.08170677343241611,-0.19319226841492235,-0.09291568896495908,0.08414025177616025,0.018036464556118733,-0.18687461932684413,0.2411510716252216
PCEPILFE_MoM,0.2923952139161424,-0.09123170408427833,-0.1525027205910875,-0.14480091708464904,-0.11021854578093462,-0.09099405174973758,0.3104183797574026,0.23314811639242464,-0.1374683683844711,0.2212179148272231
UNRATE,-0.22957690189214586,-0.17276299624309388,0.2710220651963999,-0.3291651214143239,-0.05970994644497743,-0.14954520070050073,0.0030427398653511406,0.1287809572958473,0.2080396615727769,-0.28277764458356686
NROU,-0.13761126904399618,-0.13487361146604515,0.5358304234862254,0.12255483154192606,0.11033629940040292,-0.0649064174939008,-0.062050952037053575,0.05842381927026655,-0.04971307762852617,0.08795636818285309
GDPC1,0.14634421454559898,0.03257397433506572,-0.07648544925935298,0.16025148134449338,0.45410826913017815,-0.3563822872233835,0.217648565114878,0.1903533842676971,0.3915014801217682,-0.10874916446819717
GDPPOT,0.023596742640952004,0.036040120246199236,0.12805302404517924,0.1960842417154784,-0.1342592425164889,0.4580663534225646,0.7380352428060551,-0.22489369755488947,0.2979050995001068,-0.09968987223164463
INDPRO,0.11131359362422776,-0.48615299184245453,-0.11606050464409731,0.10864447968608389,0.04263974380488415,-0.032946043726373664,0.04485680291981994,-0.0043699422422024976,-0.09428020953511537,-0.10020441491907138
RSAFS,0.04988345894082971,-0.4750460774291802,-0.13828287197653885,-0.05257427696803111,-0.1587199413426133,0.19442086137259812,-0.05650835568754831,-0.07104092859676396,-0.08966721537909707,-0.1506280574440436
MCOILWTICO,0.2523955009677572,-0.09074101523148524,0.19115370038028345,-0.3104625578851149,0.2686048778103784,0.21234317546220535,0.09989991700416075,0.1743165593212068,-0.14166872479483725,0.1476700553528275
IR,0.2621134843464904,-0.03786383845261033,0.283103464107437,-0.25804999303517506,0.2127993215590939,0.24180555361982708,-0.026187154574437897,0.04619318535726281,-0.15510937613937353,0.011840825214977032
OPHNFB,-0.140160753634874,-0.21119631852284257,-0.11028848520002774,0.010056793361949541,-0.32021384801344893,0.1363447980454877,-0.015270847794656775,0.6961147576692753,0.20881200598153962,-0.05831224462198263
CES0500000003,-0.004407668982510923,0.4902424524081986,0.04525713703989314,-0.21508311573742064,-0.025288874357134304,0.025453070468941554,-0.03452738178307475,0.20170577745861198,0.259951971616132,0.15403818630180866
CIVPART,-0.05424559668057245,-0.08338830737544803,0.5301278999752943,0.3113061434383921,-0.012495567098973363,0.029272488334406287,0.0017698780937776826,0.10612111884259967,-0.12987541027516303,0.271926169434645
JTSJOL,0.027845088411248196,-0.33066420443406536,-0.08836942801639414,-0.1466067022577095,0.0797209348468131,0.09387449120156802,-0.22631560747532725,-0.2879568400361156,0.5735115208008047,0.593749818218411
FEDFUNDS,0.19596837246507015,0.13137951530155986,0.010941306855115192,0.43255324082462443,-0.2926350250327128,0.22474472485745328,-0.243100098870253,0.19251327412642663,0.04085170350563369,0.20860984390388423
M2SL,-0.19506603408790718,0.14359423504450375,0.04994721503739831,-0.41048064467644996,-0.1716020760244967,0.3543307427173943,-0.10752372899662581,-0.05292640680875911,0.05157293527274668,-0.09489024811698475
WALCL,-0.23838097982289147,-0.11435396667631047,0.08052314499333675,-0.2082961932043139,-0.23038809345194766,-0.3669869465154,0.35683649173370025,0.10660201098782526,-0.04665398049032681,0.3422759777990109
T5YIE,0.3837266700629986,-0.008561751627066995,0.044026905072749964,-0.0461445061809605,0.0017617125869497097,0.043751339251015056,-0.0989317617468017,0.13702148767390815,0.16314586490488248,-0.1488658620960692
T10YIE,0.3553986117362125,-0.049908719756253994,0.17553223645172633,-0.014796285748589447,0.03146515441605185,-0.010486937289424236,-0.10356671298391307,0.10389881978672166,0.23274028627624394,-0.230777582882474
PX_MD,0.303599010301394,0.019925354967263293,0.1329950887101009,-0.19702467175067961,-0.29411376802893924,-0.22379196310605648,0.04712346031380907,-0.22359216159859924,-0.06070767521229599,-0.06370221822708597
PX5_MD,0.1923897374231883,0.0004157423045023185,0.2597747786960146,0.048943106682189416,-0.44806450996068925,-0.29236726928501944,-0.10672660314110277,-0.22514333929855215,0.22229222979309501,-0.16126154908047677
